SMILES,Sample_Type
O=C(CN(CC1=CC=CC=C1)CCCCCCNC([C@H](CC(C)C)N2)=O)N[C@@H](C)C2=O,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](N(C(C)=O)CCCCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCNC([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N(C)[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)N(C)[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N(C)[C@@H](C1=O)C,Semi Peptide
O=C([C@@H](NCCCCCCN(C)C(CN1CC(C)C)=O)CC2=CC=CC=C2)N[C@@H](C1=O)C,Semi Peptide
O=C(CNCCCCCCNC([C@H](C(C)C)N1)=O)N[C@@H](C1=O)CO,Semi Peptide
O=C([C@H](C)NCCCCCCNC([C@H](CC(C)C)N1)=O)N[C@H](C1=O)CC2=CC=C(O)C=C2,Semi Peptide
O=C(N(CCC1)[C@@H]1C2=O)CNCCCCCCNC([C@H](CC3=CC=C(O)C=C3)N2)=O,Semi Peptide
O=C(CNCCCCCCNC([C@H](CC(C)C)N1)=O)N[C@H](C1=O)CC2=CC=C(O)C=C2,Semi Peptide
O=C([C@@H](C)NCCCCCCNC([C@H](CC(C)C)N1)=O)N[C@@H](C1=O)CC2=CC=C(O)C=C2,Semi Peptide
O=C([C@@H](C)NCCCCCCNC([C@H](C(C)C)N1)=O)N[C@@H](C1=O)CO,Semi Peptide
O=C([C@@H](C)NCCCCCCNC([C@H](CO)N1)=O)N[C@@H](C1=O)CC(C)C,Semi Peptide
O=C(N(CCC1)[C@@H]1C2=O)[C@@H](C)NCCCCCCNC([C@H](CC3=CC=C(O)C=C3)N2)=O,Semi Peptide
O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=N,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(NC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)COCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CCCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)C/C=C/C(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2Br)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(Br)C=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC(Br)=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2Br)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(C)C=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(O)C=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(OC)C=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(C#N)C=C2)C(N(C)C)=O,Non Peptide
O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C)C(N(C)C)=O,Non Peptide
